model,wer,cer,bleu_avg,rouge1_avg_f1,levenshtein_avg,time
gemini-1.5-flash,0.5,0.08333333333333333,0.16990442448471224,1.0,3.0,1.2443721294403076
gemini-1.5-flash,0.25,0.04,0.6803749333171202,1.0,3.0,3.06
gemini-1.5-flash,0.4,0.05714285714285714,0.26591479484724945,1.0,3.0,3.18
gemini-1.5-flash,1.0,0.125,0.0,1.0,3.0,1.92
gemini-1.5-flash,0.3333333333333333,0.05128205128205128,0.5081327481546147,1.0,3.0,3.6
gemini-1.5-flash,0.4,0.08695652173913043,0.26591479484724945,1.0,3.0,2.16
gemini-1.5-flash,0.42857142857142855,0.10810810810810811,0.17567205239427922,1.0,5.0,2.7
gemini-1.5-flash,0.75,0.425,0.08034284189446518,0.8000000000000002,17.0,2.94
gemini-1.5-flash,0.6666666666666666,0.13333333333333333,0.11362193664674995,1.0,3.0,1.74
gemini-1.5-flash,0.4,0.09090909090909091,0.26591479484724945,1.0,3.0,2.88
gemini-1.5-flash,0.3333333333333333,0.06521739130434782,0.5873949094699213,1.0,4.0,4.5
gemini-1.5-flash,0.2727272727272727,0.04819277108433735,0.6786502681586727,1.0,5.0,5.58
gemini-1.5-flash,0.3,0.08,0.537284965911771,1.0,5.0,4.56
gemini-1.5-flash,0.2222222222222222,0.03773584905660377,0.7259795291154771,1.0,3.0,4.5
gemini-1.5-flash,0.18181818181818182,0.031746031746031744,0.7860753021519787,1.0,3.0,4.32
gemini-1.5-flash,5.75,4.660714285714286,0.01853380378290996,0.23728813559322035,262.0,4.38
gemini-1.5-flash,0.25,0.041666666666666664,0.6803749333171202,1.0,3.0,3.18
gemini-1.5-flash,0.3333333333333333,0.15217391304347827,0.5873949094699213,0.8888888888888888,8.0,3.96
gemini-1.5-flash,0.4,0.07142857142857142,0.26591479484724945,1.0,3.0,2.4
gemini-1.5-flash,0.5,0.11538461538461539,0.09554427922043669,1.0,4.0,2.92
gemini-1.5-flash,0.25,0.046511627906976744,0.6803749333171202,1.0,3.0,4.68
gemini-1.5-flash,0.3333333333333333,0.07142857142857142,0.5081327481546147,1.0,3.0,2.52
gemini-1.5-flash,0.8571428571428571,0.6285714285714286,0.1122444464861146,0.6666666666666665,23.0,3.36
gemini-1.5-flash,0.3333333333333333,0.06451612903225806,0.5081327481546147,1.0,3.0,3.72
gemini-1.5-flash,0.5,0.1111111111111111,0.16990442448471224,0.75,4.0,2.3467120181405896
gemini-1.5-flash,0.6666666666666666,0.08,0.11362193664674995,1.0,3.0,2.94
gemini-1.5-flash,0.2857142857142857,0.041666666666666664,0.6147881529512643,1.0,3.0,4.2
gemini-1.5-flash,0.4,0.15,0.26591479484724945,1.0,4.0,2.52
gemini-1.5-flash,0.25,0.05172413793103448,0.6803749333171202,0.875,4.0,4.26
gemini-1.5-flash,0.5,0.08695652173913043,0.16990442448471224,1.0,3.0,4.32
gemini-1.5-flash,0.5,0.11538461538461539,0.16990442448471224,1.0,4.0,2.88
gemini-1.5-flash,0.25,0.03636363636363636,0.6803749333171202,1.0,3.0,3.9
gemini-1.5-flash,0.5,0.10714285714285714,0.20205155046766235,1.0,4.0,2.7
gemini-1.5-flash,0.42857142857142855,0.13333333333333333,0.41113361690051975,1.0,5.0,3.370702947845805
