model,wer,cer,bleu_avg,rouge1_avg_f1,levenshtein_avg,time
gemini-1.5-pro,0.44,0.24390243902439024,0.4693593336493433,0.6779661016949152,41.0,2.4778847694396973
gemini-1.5-pro,0.6,0.4121212121212121,0.36151920269854193,0.6666666666666666,69.0,15.71501133786848
gemini-1.5-pro,0.9259259259259259,0.4838709677419355,0.279184049456884,0.5599999999999999,91.0,16.54702947845805
gemini-1.5-pro,0.2727272727272727,0.12804878048780488,0.4426623526629488,0.8627450980392156,22.0,19.20503401360544
gemini-1.5-pro,1.1428571428571428,0.8057553956834532,0.03819633968206938,0.4074074074074074,113.0,13.218004535147392
gemini-1.5-pro,0.2413793103448276,0.08900523560209424,0.5411708973041027,0.7941176470588235,18.0,18.370022675736962
gemini-1.5-pro,0.21212121212121213,0.0963302752293578,0.6037580943107883,0.7837837837837838,22.0,19.36204081632653
gemini-1.5-pro,0.8095238095238095,0.5925925925925926,0.21379550863272262,0.47058823529411764,81.0,12.706031746031746
gemini-1.5-pro,0.5185185185185185,0.15422885572139303,0.47901455811287486,0.7419354838709677,32.0,20.29301587301587
gemini-1.5-pro,0.21428571428571427,0.09340659340659341,0.501821497934471,0.8852459016393444,18.0,17.63501133786848
gemini-1.5-pro,0.2222222222222222,0.04419889502762431,0.44828477346116175,0.9666666666666667,9.0,18.083038548752835
gemini-1.5-pro,0.29411764705882354,0.17889908256880735,0.5338380077029675,0.7567567567567567,40.0,18.88204081632653
gemini-1.5-pro,0.3870967741935484,0.16908212560386474,0.27534943643975235,0.746268656716418,36.0,20.099002267573695
gemini-1.5-pro,0.2222222222222222,0.09595959595959595,0.6339704064341254,0.8709677419354839,20.0,19.877006802721088
gemini-1.5-pro,0.8636363636363636,0.3488372093023256,0.03152861344254501,0.5185185185185185,60.0,18.11700680272109
gemini-1.5-pro,0.6470588235294118,0.5980861244019139,0.32762227959414086,0.5952380952380952,126.0,18.914013605442175
gemini-1.5-pro,0.32142857142857145,0.11891891891891893,0.38696674524299146,0.7692307692307692,22.0,16.898004535147393
gemini-1.5-pro,0.17857142857142858,0.06914893617021277,0.6690849531405022,0.8656716417910447,14.0,17.091020408163267
gemini-1.5-pro,0.8695652173913043,0.68,0.23135181197435825,0.5573770491803278,103.0,16.098004535147393
gemini-1.5-pro,0.48,0.33974358974358976,0.38545012141186974,0.6181818181818182,54.0,15.619002267573697
gemini-1.5-pro,0.8695652173913043,0.68,0.23135181197435825,0.5573770491803278,103.0,16.098004535147393
gemini-1.5-pro,0.5384615384615384,0.4634146341463415,0.3543568594005623,0.6557377049180328,77.0,16.898004535147393
gemini-1.5-pro,0.48,0.28205128205128205,0.37305158515320674,0.6666666666666666,45.0,15.619002267573697
gemini-1.5-pro,1.1304347826086956,0.6594202898550725,0.2371144604616222,0.4307692307692308,92.0,13.154013605442177
gemini-1.5-pro,0.2692307692307692,0.15337423312883436,0.597713031281549,0.7936507936507936,26.0,15.843038548752835
gemini-1.5-pro,0.23333333333333334,0.11764705882352941,0.5882493452484164,0.8529411764705883,23.0,17.986031746031745
gemini-1.5-pro,0.1724137931034483,0.08064516129032258,0.7113551021443039,0.8235294117647058,16.0,19.330022675736963
gemini-1.5-pro,0.19230769230769232,0.07865168539325842,0.44582832609020023,0.8421052631578947,15.0,16.931020408163267
gemini-1.5-pro,0.32,0.19753086419753085,0.4939804852466582,0.7719298245614034,33.0,16.419002267573696
gemini-1.5-pro,0.30434782608695654,0.3032258064516129,0.4699739598002697,0.7346938775510203,48.0,14.211020408163265
gemini-1.5-pro,0.2222222222222222,0.0913978494623656,0.5851123875042121,0.75,18.0,16.19501133786848
gemini-1.5-pro,0.48,0.17318435754189945,0.40588153399233007,0.7096774193548386,32.0,20.101043083900226
gemini-1.5-pro,0.52,0.20994475138121546,0.37030468338190614,0.6666666666666667,39.0,18.56503401360544
gemini-1.5-pro,0.8148148148148148,0.5114942528735632,0.2901810729181888,0.5714285714285715,90.0,17.219002267573696
gemini-1.5-pro,0.75,0.6019417475728155,0.34418320479193587,0.6575342465753423,125.0,20.13301587301587
gemini-1.5-pro,0.4642857142857143,0.17894736842105263,0.4181262611694383,0.7714285714285715,35.0,18.43501133786848
gemini-1.5-pro,0.6956521739130435,0.6180555555555556,0.37570300694867703,0.6333333333333334,90.0,14.914013605442177
gemini-1.5-pro,0.32,0.1317365269461078,0.3623885503140912,0.7333333333333333,23.0,15.87501133786848
gemini-1.5-pro,0.25925925925925924,0.1099476439790576,0.3819046196554823,0.8000000000000002,22.0,16.803038548752834
gemini-1.5-pro,0.6896551724137931,0.2916666666666667,0.2821717364449649,0.6086956521739131,57.0,17.251020408163264
gemini-1.5-pro,0.26666666666666666,0.08648648648648649,0.4664524481350497,0.8285714285714286,17.0,17.76204081632653
gemini-1.5-pro,0.37037037037037035,0.14795918367346939,0.4384861051674016,0.7540983606557377,30.0,19.077006802721087
gemini-1.5-pro,0.19230769230769232,0.06666666666666667,0.44582832609020023,0.896551724137931,13.0,16.86702947845805
gemini-1.5-pro,0.4,0.16230366492146597,0.4055058280422296,0.7042253521126761,32.0,19.906031746031747
gemini-1.5-pro,0.5925925925925926,0.31952662721893493,0.27150436323855665,0.6666666666666667,55.0,15.39501133786848
gemini-1.5-pro,0.6363636363636364,0.19642857142857142,0.20287366424876008,0.7058823529411765,34.0,18.341043083900228
gemini-1.5-pro,0.17857142857142858,0.08522727272727272,0.7205743386699484,0.8709677419354839,16.0,16.51501133786848
