model,wer,cer,bleu_avg,rouge1_avg_f1,levenshtein_avg,time
gemini-2.0-flash,0.52,0.23780487804878048,0.26116807896416294,0.689655172413793,39.0,15.90702947845805
gemini-2.0-flash,0.4,0.23030303030303031,0.4325307727072111,0.7272727272727273,38.0,15.71501133786848
gemini-2.0-flash,0.7407407407407407,0.44086021505376344,0.2863424630911014,0.6,82.0,16.54702947845805
gemini-2.0-flash,0.6363636363636364,0.17682926829268292,0.030976365278791856,0.7916666666666667,29.0,19.20503401360544
gemini-2.0-flash,0.7619047619047619,0.4892086330935252,0.3179303998422513,0.6545454545454547,68.0,13.218004535147392
gemini-2.0-flash,0.8275862068965517,0.5654450261780105,0.21544027588567594,0.5750000000000001,108.0,18.370022675736962
gemini-2.0-flash,0.18181818181818182,0.07339449541284404,0.6522358729283482,0.8767123287671232,16.0,19.36204081632653
gemini-2.0-flash,0.5714285714285714,0.21481481481481482,0.25270455578796175,0.5714285714285714,29.0,12.706031746031746
gemini-2.0-flash,0.5925925925925926,0.23383084577114427,0.29379118299158063,0.7936507936507936,47.0,20.29301587301587
gemini-2.0-flash,0.32142857142857145,0.10989010989010989,0.30230341272691175,0.8852459016393444,20.0,17.63501133786848
gemini-2.0-flash,0.37037037037037035,0.09392265193370165,0.1773373764936697,0.9,17.0,18.083038548752835
gemini-2.0-flash,0.35294117647058826,0.15137614678899083,0.4914989978170727,0.7012987012987013,33.0,18.88204081632653
gemini-2.0-flash,0.41935483870967744,0.1497584541062802,0.35440333734551216,0.7164179104477613,31.0,20.099002267573695
gemini-2.0-flash,0.4444444444444444,0.13636363636363635,0.3615855225145535,0.8387096774193549,27.0,19.877006802721088
gemini-2.0-flash,1.0909090909090908,0.4883720930232558,0.016891032976324306,0.3703703703703704,84.0,18.11700680272109
gemini-2.0-flash,0.5,0.2822966507177033,0.2856166208454597,0.6153846153846154,59.0,18.914013605442175
gemini-2.0-flash,0.8214285714285714,0.3945945945945946,0.046306023586962085,0.4999999999999999,73.0,16.898004535147393
gemini-2.0-flash,0.35714285714285715,0.11170212765957446,0.4607059623951704,0.7941176470588236,21.0,17.091020408163267
gemini-2.0-flash,0.34782608695652173,0.10666666666666667,0.36422348770561047,0.8679245283018868,16.0,16.098004535147393
gemini-2.0-flash,0.4,0.23076923076923078,0.43799831280830026,0.7547169811320756,36.0,15.619002267573697
gemini-2.0-flash,0.34782608695652173,0.10666666666666667,0.36422348770561047,0.8679245283018868,16.0,16.098004535147393
gemini-2.0-flash,0.5769230769230769,0.22560975609756098,0.3534156642122564,0.6666666666666667,37.0,16.898004535147393
gemini-2.0-flash,0.4,0.23076923076923078,0.43799831280830026,0.7547169811320756,36.0,15.619002267573697
gemini-2.0-flash,0.9130434782608695,0.6304347826086957,0.1477630615267801,0.4827586206896552,87.0,13.154013605442177
gemini-2.0-flash,0.2692307692307692,0.18404907975460122,0.5061670140261408,0.84375,30.0,15.843038548752835
gemini-2.0-flash,0.3,0.10160427807486631,0.5742344831198131,0.8333333333333334,19.0,17.986031746031745
gemini-2.0-flash,0.27586206896551724,0.08602150537634409,0.5451253642727265,0.8405797101449276,16.0,19.330022675736963
gemini-2.0-flash,0.5769230769230769,0.21910112359550563,0.15186071495534512,0.7868852459016394,39.0,16.931020408163267
gemini-2.0-flash,0.4,0.2037037037037037,0.4064771064436676,0.736842105263158,33.0,16.419002267573696
gemini-2.0-flash,0.5652173913043478,0.4,0.36210097004176117,0.6909090909090909,62.0,14.211020408163265
gemini-2.0-flash,0.4444444444444444,0.13440860215053763,0.36763082847636347,0.7076923076923077,25.0,16.19501133786848
gemini-2.0-flash,0.44,0.1005586592178771,0.32892676518285585,0.8070175438596492,18.0,20.101043083900226
gemini-2.0-flash,0.64,0.1878453038674033,0.22110178939494227,0.6315789473684211,34.0,18.56503401360544
gemini-2.0-flash,0.48148148148148145,0.2471264367816092,0.4107392436727044,0.6666666666666666,43.0,17.219002267573696
gemini-2.0-flash,0.42857142857142855,0.10679611650485436,0.38038486010912886,0.7692307692307692,22.0,20.13301587301587
gemini-2.0-flash,0.35714285714285715,0.23157894736842105,0.5737618401341797,0.7575757575757576,44.0,18.43501133786848
gemini-2.0-flash,0.4782608695652174,0.24305555555555555,0.3423375720396189,0.6792452830188679,35.0,14.914013605442177
gemini-2.0-flash,0.48,0.15568862275449102,0.29615165360116247,0.7096774193548386,26.0,15.87501133786848
gemini-2.0-flash,0.6296296296296297,0.2513089005235602,0.16326401423540565,0.7333333333333333,48.0,16.803038548752834
gemini-2.0-flash,0.5172413793103449,0.21354166666666666,0.3066439134043059,0.7213114754098361,41.0,17.251020408163264
gemini-2.0-flash,0.16666666666666666,0.07567567567567568,0.6933284009561993,0.8695652173913043,14.0,17.76204081632653
gemini-2.0-flash,0.8148148148148148,0.37244897959183676,0.19310235945664556,0.634920634920635,73.0,19.077006802721087
gemini-2.0-flash,0.34615384615384615,0.10555555555555556,0.2082376263771737,0.8275862068965517,19.0,16.86702947845805
gemini-2.0-flash,0.3333333333333333,0.09947643979057591,0.4536797023564206,0.7941176470588236,19.0,19.906031746031747
gemini-2.0-flash,0.3333333333333333,0.13609467455621302,0.38359825152812527,0.78125,23.0,15.39501133786848
gemini-2.0-flash,1.1363636363636365,0.43452380952380953,0.03550467708240432,0.3928571428571428,73.0,18.341043083900228
gemini-2.0-flash,0.25,0.08522727272727272,0.57148808593976,0.8524590163934426,15.0,16.51501133786848
gemini-2.0-flash,0.7391304347826086,0.4647887323943662,0.18506589978312343,0.5999999999999999,66.0,13.92204081632653
gemini-2.0-flash,0.4166666666666667,0.25625,0.40214612768560637,0.7272727272727273,41.0,14.371020408163265
gemini-2.0-flash,0.43478260869565216,0.08287292817679558,0.338796999974464,0.8518518518518519,15.0,18.40503401360544
gemini-2.0-flash,0.4827586206896552,0.22826086956521738,0.23368936312986366,0.6461538461538462,42.0,16.80204081632653
gemini-2.0-flash,0.6086956521739131,0.2331288343558282,0.0643273109079194,0.693877551020408,38.0,16.421043083900226
gemini-2.0-flash,0.41379310344827586,0.14213197969543148,0.2538339113136439,0.8181818181818182,28.0,20.06702947845805
gemini-2.0-flash,0.36,0.10967741935483871,0.3387144423286913,0.8070175438596492,17.0,16.35501133786848
gemini-2.0-flash,0.46153846153846156,0.09278350515463918,0.28598266033267306,0.8813559322033899,18.0,20.99700680272109
gemini-2.0-flash,0.35294117647058826,0.20276497695852536,0.547866829278136,0.7631578947368421,44.0,18.01800453514739
gemini-2.0-flash,0.625,0.14942528735632185,0.23487811400114963,0.7719298245614034,26.0,18.309024943310657
gemini-2.0-flash,0.5833333333333334,0.2597402597402597,0.30536941697562214,0.6296296296296297,40.0,14.819002267573696
gemini-2.0-flash,0.8076923076923077,0.5057471264367817,0.2552550370453419,0.5,88.0,16.931020408163267
gemini-2.0-flash,0.7692307692307693,0.2982456140350877,0.2575863752355164,0.5,51.0,16.579002267573696
gemini-2.0-flash,0.6551724137931034,0.33513513513513515,0.2904391540454532,0.6027397260273972,62.0,17.89002267573696
gemini-2.0-flash,0.36,0.08648648648648649,0.3771701894792374,0.912280701754386,16.0,18.66104308390023
gemini-2.0-flash,0.28,0.12727272727272726,0.5255781733673718,0.8679245283018867,21.0,16.86702947845805
gemini-2.0-flash,0.5714285714285714,0.20253164556962025,0.07075494147561419,0.6938775510204083,32.0,19.90902494331066
gemini-2.0-flash,0.6153846153846154,0.39759036144578314,0.2863949307915334,0.6865671641791045,66.0,14.915011337868481
gemini-2.0-flash,0.52,0.18181818181818182,0.32685141385924577,0.7333333333333333,30.0,16.771020408163267
gemini-2.0-flash,0.4444444444444444,0.15760869565217392,0.17482131527678862,0.847457627118644,29.0,18.499002267573697
gemini-2.0-flash,0.34285714285714286,0.091324200913242,0.3827875611217857,0.8717948717948718,20.0,20.578004535147393
gemini-2.0-flash,0.9333333333333333,0.4484536082474227,0.09118099089300939,0.47500000000000003,87.0,17.506031746031745
gemini-2.0-flash,0.7586206896551724,0.3956043956043956,0.12577829595095136,0.5352112676056339,72.0,17.73002267573696
gemini-2.0-flash,0.5,0.14204545454545456,0.2677353447271197,0.8148148148148148,25.0,18.149024943310657
gemini-2.0-flash,0.7391304347826086,0.1497005988023952,0.051660454541342535,0.8679245283018868,25.0,19.557006802721087
gemini-2.0-flash,0.3235294117647059,0.14746543778801843,0.5473787082788082,0.8333333333333333,32.0,18.56204081632653
gemini-2.0-flash,0.2727272727272727,0.07692307692307693,0.5437660574883798,0.8108108108108109,16.0,19.36204081632653
gemini-2.0-flash,0.4,0.22119815668202766,0.34851604371308165,0.7500000000000001,48.0,20.77002267573696
gemini-2.0-flash,0.29411764705882354,0.09859154929577464,0.4948895185144608,0.8311688311688312,21.0,20.16204081632653
gemini-2.0-flash,0.38461538461538464,0.21965317919075145,0.49806572776935465,0.736842105263158,38.0,16.51501133786848
gemini-2.0-flash,0.44,0.27044025157232704,0.4679666479405632,0.7241379310344827,43.0,14.755011337868481
gemini-2.0-flash,0.8076923076923077,0.37305699481865284,0.21785439907648257,0.6349206349206349,72.0,18.373015873015873
gemini-2.0-flash,0.4,0.20967741935483872,0.44732064843293906,0.6944444444444444,39.0,16.354013605442177
gemini-2.0-flash,0.625,0.28104575163398693,0.25347574420096464,0.52,43.0,15.459002267573696
gemini-2.0-flash,0.4583333333333333,0.1043956043956044,0.323932119435985,0.8363636363636364,19.0,18.213015873015873
gemini-2.0-flash,0.4444444444444444,0.10309278350515463,0.3535749730730369,0.8524590163934426,20.0,18.789024943310658
gemini-2.0-flash,0.5,0.29375,0.34775476333824323,0.7037037037037037,47.0,15.36204081632653
