model,wer,cer,bleu_avg,rouge1_avg_f1,levenshtein_avg,time
Vosk STT (Small IT),0.0,0.0,1.0,1.0,0.0,0.17066526412963867
Vosk STT (Small IT),0.25,0.04,0.5410822690539396,0.75,2.0,0.2157905101776123
Vosk STT (Small IT),0.6,0.11428571428571428,0.20205155046766235,0.5454545454545454,4.0,0.20470762252807617
Vosk STT (Small IT),0.0,0.0,0.316227766016838,1.0,0.0,0.14088988304138184
Vosk STT (Small IT),0.3333333333333333,0.02564102564102564,0.6147881529512643,0.7692307692307692,1.0,0.2214794158935547
Vosk STT (Small IT),0.0,0.0,1.0,1.0,0.0,0.22205018997192383
Vosk STT (Small IT),0.14285714285714285,0.1891891891891892,0.846481724890614,0.923076923076923,7.0,0.1792771816253662
Vosk STT (Small IT),0.75,0.225,0.11362193664674995,0.5454545454545454,9.0,0.2339169979095459
Vosk STT (Small IT),0.0,0.0,0.5623413251903491,1.0,0.0,0.1142425537109375
Vosk STT (Small IT),0.0,0.0,1.0,1.0,0.0,0.1982557773590088
Vosk STT (Small IT),0.2222222222222222,0.06521739130434782,0.5133450480401704,0.7777777777777778,3.0,0.287945032119751
Vosk STT (Small IT),0.18181818181818182,0.0963855421686747,0.5954165059120786,0.8571428571428572,8.0,0.33310985565185547
Vosk STT (Small IT),0.2,0.06,0.6606328636027614,0.8000000000000002,3.0,0.2572305202484131
Vosk STT (Small IT),0.1111111111111111,0.018867924528301886,0.6606328636027614,0.8888888888888888,1.0,0.25229310989379883
Vosk STT (Small IT),0.18181818181818182,0.06349206349206349,0.7963580315032781,0.8571428571428572,4.0,0.2924652099609375
Vosk STT (Small IT),0.5,0.08928571428571429,0.07583235673413397,0.631578947368421,5.0,0.27680015563964844
Vosk STT (Small IT),0.625,0.4375,0.06846046760764757,0.42857142857142855,21.0,0.22196745872497559
Vosk STT (Small IT),0.1111111111111111,0.043478260869565216,0.8633400213704505,0.8888888888888888,2.0,0.2273845672607422
Vosk STT (Small IT),0.4,0.03571428571428571,0.12209471671615688,0.7272727272727272,1.0,0.17825579643249512
Vosk STT (Small IT),0.3333333333333333,0.23076923076923078,0.21711852081087685,0.6,6.0,0.1594374179840088
Vosk STT (Small IT),0.0,0.0,1.0,1.0,0.0,0.23914003372192383
Vosk STT (Small IT),0.0,0.0,1.0,1.0,0.0,0.19750142097473145
Vosk STT (Small IT),0.14285714285714285,0.08571428571428572,0.8091067115702212,0.8571428571428571,3.0,0.1909961700439453
Vosk STT (Small IT),0.5,0.3548387096774194,0.20205155046766235,0.5,11.0,0.3024172782897949
Vosk STT (Small IT),0.75,0.2962962962962963,0.08034284189446518,0.25,8.0,0.21498966217041016
Vosk STT (Small IT),0.3333333333333333,0.2,0.24028114141347542,0.6666666666666666,5.0,0.18054723739624023
Vosk STT (Small IT),0.42857142857142855,0.3958333333333333,0.4723665527410147,0.7692307692307693,19.0,0.2689018249511719
Vosk STT (Small IT),0.6,0.25,0.06389431042462725,0.4444444444444445,5.0,0.1775360107421875
Vosk STT (Small IT),0.25,0.034482758620689655,0.7259795291154771,0.823529411764706,2.0,0.2713446617126465
