model,wer,cer,bleu_avg,rouge1_avg_f1,levenshtein_avg,time
Vosk STT (Small IT),0.5568181818181818,0.24740484429065743,0.3434155781731993,0.711340206185567,143.0,2.206012487411499
Vosk STT (Small IT),0.6626506024096386,0.27566539923954375,0.15870262216791198,0.5813953488372093,145.0,2.2916924953460693
Vosk STT (Small IT),0.6162790697674418,0.25476603119584057,0.2346415143168734,0.6875,147.0,2.6933753490448
Vosk STT (Small IT),0.7349397590361446,0.3170289855072464,0.19678359520944658,0.6344086021505376,175.0,2.2103424072265625
Vosk STT (Small IT),0.821917808219178,0.55859375,0.010438072890522182,0.3902439024390244,286.0,1.5133886337280273
Vosk STT (Small IT),0.6351351351351351,0.33547008547008544,0.19381936635285152,0.5962732919254657,157.0,2.28346848487854
Vosk STT (Small IT),0.6835443037974683,0.26492537313432835,0.08123993266349029,0.5680473372781065,142.0,2.5505588054656982
Vosk STT (Small IT),0.6626506024096386,0.26640926640926643,0.21390766302565403,0.5909090909090908,138.0,2.895979881286621
Vosk STT (Small IT),0.6891891891891891,0.3122448979591837,0.16426199116071521,0.5962732919254657,153.0,3.2430059909820557
Vosk STT (Small IT),0.7887323943661971,0.328,0.20112912702207011,0.6395348837209303,164.0,2.082232713699341
Vosk STT (Small IT),0.6933333333333334,0.34237995824634654,0.2303730201465984,0.6477272727272727,164.0,2.2104122638702393
Vosk STT (Small IT),0.5760869565217391,0.2638230647709321,0.2309662018565631,0.6256410256410255,167.0,2.66491961479187
Vosk STT (Small IT),0.7638888888888888,0.321011673151751,0.15160992829378625,0.619047619047619,165.0,1.8537836074829102
Vosk STT (Small IT),0.6164383561643836,0.21971252566735114,0.21016819194336855,0.7169811320754718,107.0,1.5603282451629639
Vosk STT (Small IT),0.7023809523809523,0.3121495327102804,0.14863389442777286,0.56353591160221,167.0,2.3241446018218994
Vosk STT (Small IT),0.5647058823529412,0.26126126126126126,0.3059843700940624,0.7619047619047619,145.0,2.7437093257904053
Vosk STT (Small IT),0.8440366972477065,0.4700854700854701,0.27374317447689434,0.6343283582089552,330.0,4.0240137577056885
Vosk STT (Small IT),0.5595238095238095,0.2881679389312977,0.2841554484154188,0.6519337016574586,151.0,2.950829267501831
Vosk STT (Small IT),0.7283950617283951,0.2826855123674912,0.19517884587607257,0.5698324022346368,160.0,2.7114810943603516
Vosk STT (Small IT),0.5360824742268041,0.22595419847328244,0.3292010034260471,0.7699530516431925,148.0,2.6739661693573
Vosk STT (Small IT),0.6575342465753424,0.22580645161290322,0.18779825754988252,0.7124999999999999,112.0,2.0601980686187744
Vosk STT (Small IT),0.6097560975609756,0.27289719626168224,0.293651748564498,0.7027027027027026,146.0,2.2397665977478027
Vosk STT (Small IT),0.7222222222222222,0.28884462151394424,0.2363427914031447,0.6744186046511628,145.0,2.1889588832855225
Vosk STT (Small IT),0.6438356164383562,0.24714828897338403,0.2086034107649923,0.65,130.0,3.056199073791504
Vosk STT (Small IT),0.5604395604395604,0.24,0.28169669061308034,0.6934673366834171,144.0,2.329145908355713
Vosk STT (Small IT),0.7804878048780488,0.2820976491862568,0.14180427728196104,0.6195652173913043,156.0,2.2012031078338623
Vosk STT (Small IT),0.5833333333333334,0.25794392523364484,0.27879721660209367,0.716577540106952,138.0,2.073298692703247
Vosk STT (Small IT),0.6712328767123288,0.3006134969325153,0.21270925361892595,0.6666666666666667,147.0,1.919966220855713
Vosk STT (Small IT),0.5714285714285714,0.24100156494522693,0.30922490769119987,0.7557603686635945,154.0,2.1271467208862305
Vosk STT (Small IT),0.7205882352941176,0.3431151241534989,0.15878141828266978,0.52,152.0,2.1045284271240234
Vosk STT (Small IT),0.5876288659793815,0.26365054602184085,0.2462644099577448,0.6363636363636364,169.0,2.7903027534484863
Vosk STT (Small IT),0.7682926829268293,0.3016157989228007,0.2048452459483216,0.6321243523316061,168.0,2.2098093032836914
Vosk STT (Small IT),0.6493506493506493,0.25925925925925924,0.259944000578915,0.6071428571428571,140.0,2.3937199115753174
Vosk STT (Small IT),0.5050505050505051,0.22970903522205208,0.3582832206728858,0.7741935483870969,150.0,2.4061999320983887
Vosk STT (Small IT),0.6705882352941176,0.2808219178082192,0.17074743950046883,0.5913978494623656,164.0,3.059993267059326
Vosk STT (Small IT),0.5520833333333334,0.2515151515151515,0.3381325591869404,0.7557603686635944,166.0,2.6964919567108154
Vosk STT (Small IT),0.5051546391752577,0.20689655172413793,0.34306028010105216,0.751219512195122,132.0,2.231726884841919
Vosk STT (Small IT),0.6082474226804123,0.2757527733755943,0.25826788760604813,0.6346153846153846,174.0,2.7322800159454346
Vosk STT (Small IT),0.5858585858585859,0.25117004680187205,0.2496799987586879,0.6415094339622642,161.0,2.8135833740234375
Vosk STT (Small IT),0.68,0.3243801652892562,0.14851978946729888,0.6227544910179641,157.0,2.5475449562072754
Vosk STT (Small IT),0.47474747474747475,0.19508448540706605,0.36566764824215553,0.784688995215311,127.0,2.800994396209717
Vosk STT (Small IT),0.7307692307692307,0.30612244897959184,0.10872045324074624,0.5549132947976879,165.0,3.136925458908081
Vosk STT (Small IT),0.6352941176470588,0.29814814814814816,0.24358274692322657,0.7120418848167538,161.0,2.311722993850708
Vosk STT (Small IT),0.5131578947368421,0.16370808678500987,0.288524990799193,0.7901234567901233,83.0,1.964280605316162
Vosk STT (Small IT),0.684931506849315,0.3119834710743802,0.1454248504419426,0.6,151.0,2.7460129261016846
Vosk STT (Small IT),0.6,0.275,0.22372988151734338,0.6424242424242425,132.0,2.8403990268707275
Vosk STT (Small IT),0.5783132530120482,0.28383458646616544,0.2871654862016827,0.7282608695652173,151.0,2.2110214233398438
Vosk STT (Small IT),0.7375,0.3383458646616541,0.07681303873295152,0.48837209302325585,180.0,3.0077528953552246
Vosk STT (Small IT),0.7432432432432432,0.303347280334728,0.13305821518871586,0.573170731707317,145.0,2.6206393241882324
Vosk STT (Small IT),0.6326530612244898,0.2620481927710843,0.2853541541859591,0.6964285714285715,174.0,2.972616672515869
