model,wer,cer,bleu_avg,rouge1_avg_f1,levenshtein_avg,time
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.6334853172302246
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.6701145172119141
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.7408108711242676
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,0.316227766016838,1.0,0.0,0.3847675323486328
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.6957402229309082
Wav2Vec2 XLSR Italian (Grosman),0.2,0.043478260869565216,0.16068568378893033,0.8000000000000002,1.0,0.5143618583679199
Wav2Vec2 XLSR Italian (Grosman),0.2857142857142857,0.05405405405405406,0.6147881529512643,0.7142857142857143,2.0,0.5891923904418945
Wav2Vec2 XLSR Italian (Grosman),1.0,0.075,0.08633400213704504,0.5454545454545454,3.0,0.6241059303283691
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,0.5623413251903491,1.0,0.0,0.3509645462036133
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.5989110469818115
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.8361318111419678
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.9847548007965088
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.8439903259277344
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.8152508735656738
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.7778844833374023
Wav2Vec2 XLSR Italian (Grosman),0.125,0.017857142857142856,0.5946035575013605,0.8888888888888888,1.0,0.801788330078125
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.6467306613922119
Wav2Vec2 XLSR Italian (Grosman),0.1111111111111111,0.043478260869565216,0.8633400213704505,0.8888888888888888,2.0,0.7239913940429688
Wav2Vec2 XLSR Italian (Grosman),0.4,0.03571428571428571,0.12209471671615688,0.7272727272727272,1.0,0.5498287677764893
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.6041839122772217
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.8552241325378418
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.5701408386230469
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.6634228229522705
Wav2Vec2 XLSR Italian (Grosman),0.3333333333333333,0.06451612903225806,0.10266900960803409,0.6666666666666666,2.0,0.6952109336853027
Wav2Vec2 XLSR Italian (Grosman),0.25,0.07407407407407407,0.1880301546543197,0.75,2.0,0.5716562271118164
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,0.5623413251903491,1.0,0.0,0.6784756183624268
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.8004336357116699
Wav2Vec2 XLSR Italian (Grosman),0.4,0.2,0.26591479484724945,0.5,4.0,0.5671572685241699
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.7825875282287598
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.7740881443023682
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.5844786167144775
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.7306668758392334
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.5946345329284668
Wav2Vec2 XLSR Italian (Grosman),0.14285714285714285,0.03333333333333333,0.8091067115702212,0.8571428571428571,1.0,0.6724443435668945
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.7171683311462402
Wav2Vec2 XLSR Italian (Grosman),0.1,0.018518518518518517,0.8801117367933934,0.9,1.0,0.8792951107025146
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.5940887928009033
Wav2Vec2 XLSR Italian (Grosman),0.2,0.03125,0.668740304976422,0.8000000000000002,1.0,0.6179804801940918
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.5686321258544922
Wav2Vec2 XLSR Italian (Grosman),0.5,0.11428571428571428,0.05789300674674099,0.6666666666666666,4.0,0.7340927124023438
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.7547817230224609
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.7029523849487305
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.6495091915130615
Wav2Vec2 XLSR Italian (Grosman),0.25,0.04,0.3976353643835253,0.75,1.0,0.5976622104644775
Wav2Vec2 XLSR Italian (Grosman),0.25,0.1111111111111111,0.1880301546543197,0.75,2.0,0.37267041206359863
Wav2Vec2 XLSR Italian (Grosman),0.16666666666666666,0.03225806451612903,0.7598356856515925,0.8333333333333334,1.0,0.6561534404754639
Wav2Vec2 XLSR Italian (Grosman),0.6666666666666666,0.2830188679245283,0.03266828640925502,0.375,15.0,0.7725338935852051
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.732536792755127
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.6880981922149658
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,0.5623413251903491,1.0,0.0,0.33217740058898926
Wav2Vec2 XLSR Italian (Grosman),0.125,0.025,0.8408964152537145,0.875,1.0,0.732966423034668
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.816727876663208
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.5717723369598389
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.6317064762115479
Wav2Vec2 XLSR Italian (Grosman),0.25,0.0425531914893617,0.18092176081223305,0.7777777777777778,2.0,0.711958646774292
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.611443281173706
Wav2Vec2 XLSR Italian (Grosman),0.2222222222222222,0.03636363636363636,0.4412484512922977,0.823529411764706,2.0,0.7730035781860352
Wav2Vec2 XLSR Italian (Grosman),0.75,0.3181818181818182,0.08034284189446518,0.22222222222222224,7.0,0.5063273906707764
Wav2Vec2 XLSR Italian (Grosman),0.16666666666666666,0.03225806451612903,0.25406637407730737,0.8333333333333334,1.0,0.6069116592407227
Wav2Vec2 XLSR Italian (Grosman),0.09090909090909091,0.017543859649122806,0.7016879391277372,0.9090909090909091,1.0,0.7940301895141602
Wav2Vec2 XLSR Italian (Grosman),0.2727272727272727,0.04477611940298507,0.34172334076593075,0.7826086956521738,3.0,0.9164881706237793
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.5437262058258057
Wav2Vec2 XLSR Italian (Grosman),0.75,0.16666666666666666,0.11362193664674995,0.4444444444444445,4.0,0.6150143146514893
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.6877915859222412
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,0.316227766016838,1.0,0.0,0.5197241306304932
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.788503885269165
Wav2Vec2 XLSR Italian (Grosman),0.5,0.1111111111111111,0.2824099048856541,0.5263157894736842,7.0,0.863964319229126
Wav2Vec2 XLSR Italian (Grosman),0.8333333333333334,0.3333333333333333,0.040824829046386304,0.16666666666666666,10.0,0.5353405475616455
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.6906125545501709
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,1.0,1.0,0.0,0.5605306625366211
Wav2Vec2 XLSR Italian (Grosman),0.0,0.0,0.5623413251903491,1.0,0.0,0.3417844772338867
Wav2Vec2 XLSR Italian (Grosman),0.5555555555555556,0.09615384615384616,0.13134549472120793,0.5,5.0,0.724419355392456
Wav2Vec2 XLSR Italian (Grosman),0.4,0.12903225806451613,0.08034284189446518,0.7,8.0,0.7015228271484375
