model,wer,cer,bleu_avg,rouge1_avg_f1,levenshtein_avg,time
Wav2Vec2 XLSR Italian (Grosman),0.42045454545454547,0.20761245674740483,0.39329218179831094,0.7344632768361583,120.0,7.0957419872283936
Wav2Vec2 XLSR Italian (Grosman),0.4939759036144578,0.26425855513307983,0.1978964381258314,0.6172839506172839,139.0,5.919263601303101
Wav2Vec2 XLSR Italian (Grosman),0.5581395348837209,0.24783362218370883,0.23779480713112233,0.5529411764705884,143.0,6.705732345581055
Wav2Vec2 XLSR Italian (Grosman),0.5060240963855421,0.2554347826086957,0.2274911331662366,0.7209302325581395,141.0,6.9439857006073
Wav2Vec2 XLSR Italian (Grosman),0.7808219178082192,0.501953125,0.11496643627806666,0.464,257.0,3.311192512512207
Wav2Vec2 XLSR Italian (Grosman),0.6216216216216216,0.29273504273504275,0.13173229678294537,0.5324675324675324,137.0,5.318646192550659
Wav2Vec2 XLSR Italian (Grosman),0.5189873417721519,0.23880597014925373,0.24246786536837361,0.5949367088607596,128.0,6.182436943054199
Wav2Vec2 XLSR Italian (Grosman),0.4457831325301205,0.2471042471042471,0.29522568147884726,0.6503067484662576,128.0,5.996954679489136
Wav2Vec2 XLSR Italian (Grosman),0.6081081081081081,0.29183673469387755,0.20897789508938222,0.6143790849673203,143.0,5.995979309082031
Wav2Vec2 XLSR Italian (Grosman),0.5633802816901409,0.266,0.23987627933722555,0.6967741935483872,133.0,6.497430801391602
Wav2Vec2 XLSR Italian (Grosman),0.48,0.2776617954070981,0.26667598084323124,0.7,133.0,6.156795263290405
Wav2Vec2 XLSR Italian (Grosman),0.43478260869565216,0.2132701421800948,0.3212415611790714,0.6702702702702703,135.0,7.197380065917969
Wav2Vec2 XLSR Italian (Grosman),0.5833333333333334,0.26264591439688717,0.22996331479723603,0.717948717948718,135.0,6.688628673553467
Wav2Vec2 XLSR Italian (Grosman),0.4794520547945205,0.1806981519507187,0.2725611726172289,0.7682119205298014,88.0,5.709242105484009
Wav2Vec2 XLSR Italian (Grosman),0.5119047619047619,0.2542056074766355,0.18368273506707367,0.6134969325153374,136.0,5.975389719009399
Wav2Vec2 XLSR Italian (Grosman),0.5411764705882353,0.25045045045045045,0.2715236829738814,0.6741573033707866,139.0,6.874845504760742
Wav2Vec2 XLSR Italian (Grosman),0.6055045871559633,0.3945868945868946,0.3003800924039252,0.7112970711297072,277.0,11.753706693649292
Wav2Vec2 XLSR Italian (Grosman),0.47619047619047616,0.25572519083969464,0.25328182331982274,0.6272189349112427,134.0,6.146448850631714
Wav2Vec2 XLSR Italian (Grosman),0.5802469135802469,0.2597173144876325,0.2747238446403846,0.6024096385542168,147.0,7.010014057159424
Wav2Vec2 XLSR Italian (Grosman),0.5257731958762887,0.20916030534351146,0.2912490872139883,0.7425742574257425,137.0,8.180342435836792
Wav2Vec2 XLSR Italian (Grosman),0.4794520547945205,0.18951612903225806,0.3075010157438954,0.8211920529801323,94.0,6.213672876358032
Wav2Vec2 XLSR Italian (Grosman),0.4634146341463415,0.2336448598130841,0.3625520597142197,0.736842105263158,125.0,6.7257208824157715
Wav2Vec2 XLSR Italian (Grosman),0.5416666666666666,0.2350597609561753,0.2456135240955336,0.7066666666666667,118.0,6.256829500198364
Wav2Vec2 XLSR Italian (Grosman),0.6301369863013698,0.2623574144486692,0.2055440485310748,0.581081081081081,138.0,6.693960189819336
Wav2Vec2 XLSR Italian (Grosman),0.5164835164835165,0.25333333333333335,0.2969064107318904,0.6162162162162163,152.0,7.977271318435669
Wav2Vec2 XLSR Italian (Grosman),0.5609756097560976,0.23508137432188064,0.23736549592349407,0.6818181818181818,130.0,6.8706183433532715
Wav2Vec2 XLSR Italian (Grosman),0.4166666666666667,0.23925233644859814,0.3607456632141618,0.7052023121387283,128.0,6.476585626602173
Wav2Vec2 XLSR Italian (Grosman),0.4931506849315068,0.25766871165644173,0.3136720703994146,0.7295597484276729,126.0,6.01395058631897
Wav2Vec2 XLSR Italian (Grosman),0.42857142857142855,0.21752738654147105,0.3623683552908611,0.7346938775510204,139.0,7.77681827545166
Wav2Vec2 XLSR Italian (Grosman),0.5882352941176471,0.27765237020316025,0.18258319633649747,0.5362318840579711,123.0,4.963136911392212
Wav2Vec2 XLSR Italian (Grosman),0.36082474226804123,0.1731669266770671,0.456493660710261,0.7243243243243243,111.0,7.54316782951355
Wav2Vec2 XLSR Italian (Grosman),0.4878048780487805,0.2585278276481149,0.2761448589210409,0.7294117647058823,144.0,7.011323928833008
Wav2Vec2 XLSR Italian (Grosman),0.5454545454545454,0.2222222222222222,0.2512472726890687,0.6103896103896104,120.0,6.004648685455322
Wav2Vec2 XLSR Italian (Grosman),0.36363636363636365,0.18683001531393567,0.43412712211028415,0.8275862068965517,122.0,7.819819211959839
Wav2Vec2 XLSR Italian (Grosman),0.5176470588235295,0.2191780821917808,0.2990227135412567,0.5882352941176471,128.0,6.721206426620483
Wav2Vec2 XLSR Italian (Grosman),0.4479166666666667,0.21515151515151515,0.37091828112433356,0.7512690355329948,142.0,8.435224294662476
Wav2Vec2 XLSR Italian (Grosman),0.4329896907216495,0.18025078369905956,0.38545159601405227,0.7772020725388602,115.0,7.951724290847778
Wav2Vec2 XLSR Italian (Grosman),0.4639175257731959,0.21553090332805072,0.2983601487560894,0.648936170212766,136.0,7.203829050064087
Wav2Vec2 XLSR Italian (Grosman),0.43434343434343436,0.20124804992199688,0.29978442125303184,0.6701030927835051,129.0,7.125847101211548
Wav2Vec2 XLSR Italian (Grosman),0.5066666666666667,0.27892561983471076,0.19654708777033536,0.5810810810810811,135.0,5.58700704574585
Wav2Vec2 XLSR Italian (Grosman),0.41414141414141414,0.1674347158218126,0.40541358182117226,0.7783251231527094,109.0,8.036192178726196
Wav2Vec2 XLSR Italian (Grosman),0.5897435897435898,0.3042671614100185,0.16995372453366775,0.5569620253164557,164.0,6.488824129104614
Wav2Vec2 XLSR Italian (Grosman),0.49411764705882355,0.24259259259259258,0.2538550920866241,0.7159090909090908,131.0,6.339822292327881
Wav2Vec2 XLSR Italian (Grosman),0.4473684210526316,0.15976331360946747,0.31886233252551394,0.7662337662337663,81.0,5.823998928070068
Wav2Vec2 XLSR Italian (Grosman),0.5616438356164384,0.2768595041322314,0.233872187224487,0.6143790849673201,134.0,5.359487295150757
Wav2Vec2 XLSR Italian (Grosman),0.5333333333333333,0.28958333333333336,0.24435501119844055,0.5882352941176471,139.0,5.614750385284424
Wav2Vec2 XLSR Italian (Grosman),0.42168674698795183,0.2387218045112782,0.3516451167405487,0.7764705882352942,127.0,6.24221396446228
Wav2Vec2 XLSR Italian (Grosman),0.5625,0.2462406015037594,0.1861128019277468,0.5925925925925927,131.0,6.100104808807373
Wav2Vec2 XLSR Italian (Grosman),0.527027027027027,0.2489539748953975,0.2007102981515241,0.6081081081081081,119.0,5.181100845336914
Wav2Vec2 XLSR Italian (Grosman),0.4489795918367347,0.22740963855421686,0.35933627710523286,0.7450980392156863,151.0,8.102409601211548
Wav2Vec2 XLSR Italian (Grosman),0.5,0.22482014388489208,0.3201348104550534,0.6198830409356725,125.0,6.08521842956543
Wav2Vec2 XLSR Italian (Grosman),0.5108695652173914,0.23941368078175895,0.2918930234057166,0.6179775280898876,147.0,7.189177513122559
Wav2Vec2 XLSR Italian (Grosman),0.4583333333333333,0.2860169491525424,0.3159030408588255,0.6883116883116882,135.0,5.9273600578308105
Wav2Vec2 XLSR Italian (Grosman),0.4473684210526316,0.22960151802656548,0.29815952132153606,0.7388535031847133,121.0,6.4446327686309814
Wav2Vec2 XLSR Italian (Grosman),0.32941176470588235,0.21206581352833637,0.40590235275583975,0.7514450867052022,116.0,6.508668661117554
Wav2Vec2 XLSR Italian (Grosman),0.4875,0.2154696132596685,0.20652735828031374,0.6455696202531644,117.0,5.96381139755249
Wav2Vec2 XLSR Italian (Grosman),0.4421052631578947,0.21316614420062696,0.33522000129579926,0.6737967914438503,136.0,7.097975015640259
Wav2Vec2 XLSR Italian (Grosman),0.4387755102040816,0.22464898595943839,0.3488244313825776,0.6903553299492386,144.0,7.476624965667725
Wav2Vec2 XLSR Italian (Grosman),0.5058823529411764,0.24475524475524477,0.25710745822545017,0.6011560693641619,140.0,6.619204521179199
